Paguyuban Puri Bunga 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laporan Kinerja Keuangan Tahun 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JURNAL HARIAN PURI BUNGA 2 TAHUN 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Tanggal,Month,SD,MS BYR,ACC,ACC NAME,URAIAN TRANSAKSI,Blok,Dr,Cr,Saldo,Cek Saldo RK,Cek Saldo Kas,Selisih,,,,,,,,,,,,,,
1,2026-01-01 00:00:00,1,5,,,Saldo awal ,,,,,0,,,,,,,,,,,,,,,,,
1,2026-05-02 00:00:00,5,5,1,11,Kas Kecil,Kas kecil awal,,304000,,304000,,,,,,,,,,,,,,,,,
2,2026-05-07 00:00:00,5,5,1,11,Kas Kecil,Pengambilan tunai untuk kas kecil,,200000,,504000,,,,,,,,,,,,,,,,,
3,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
4,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
5,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
6,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
7,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
8,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
9,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
10,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
11,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
12,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
13,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
14,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
15,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
16,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
17,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
18,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
19,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
20,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
21,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
22,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
23,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
24,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
25,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
26,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
27,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
28,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
29,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
30,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
31,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
32,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
33,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
34,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
35,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
36,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
37,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
38,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
39,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
40,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
41,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
42,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
43,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
44,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
45,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
46,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
47,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
48,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
49,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
50,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
51,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
52,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
53,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
54,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
55,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
56,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
57,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
58,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
59,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
60,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
61,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
62,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
63,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
64,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
65,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
66,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
67,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
68,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
69,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
70,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
71,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
72,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
73,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
74,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
75,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
76,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
77,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
78,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
79,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
80,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
81,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
82,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
83,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
84,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
85,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
86,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
87,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
88,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
89,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
90,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
91,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
92,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
93,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
94,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
95,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
96,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
97,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
98,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
99,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
100,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
101,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
102,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
103,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
104,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
105,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
106,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
107,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
108,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
109,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
110,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
111,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
112,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
113,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
114,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
115,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
116,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
117,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
118,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
119,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
120,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
121,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
122,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
123,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
124,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
125,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
126,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
127,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
128,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
129,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
130,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
131,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
132,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
133,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
134,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
135,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
136,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
137,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
138,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
139,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
140,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
141,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
142,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
143,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
144,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
145,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
146,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
147,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
148,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
149,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
150,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
151,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
152,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
153,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
154,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
155,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
156,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
157,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
158,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
159,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
160,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
161,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
162,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
163,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
164,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
165,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
166,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
167,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
168,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
169,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
170,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
171,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
172,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
173,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
174,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
175,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
176,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
177,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
178,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
179,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
180,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
181,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
182,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
183,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
184,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
185,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
186,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
187,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
188,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
189,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
190,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
191,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
192,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
193,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
194,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
195,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
196,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
197,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
198,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
199,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
200,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
201,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
202,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
203,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
204,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
205,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
206,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
207,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
208,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
209,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
210,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
211,,1,5,,,0,,,,,504000,,,,,,,,,,,,,,,,,
